millis,ax,ay,az,gx,gy,gz
2024-12-31 11:32:26.309959,-0.081543,-0.008667,0.980347,-1.037598,1.586914,-1.159668
2024-12-31 11:32:26.318959,-0.004883,-0.043823,1.024292,-0.854492,2.380371,-4.638672
2024-12-31 11:32:26.326959,-0.088501,0.028442,0.963867,-3.967285,1.220703,-1.586914
2024-12-31 11:32:26.334959,0.032227,-0.052490,1.012207,-2.685547,0.000000,-5.554199
2024-12-31 11:32:26.343959,-0.047974,0.056641,1.070801,0.061035,1.403809,-8.239746
2024-12-31 11:32:26.351959,0.098999,-0.008911,1.047119,-2.990723,0.549316,-9.399414
2024-12-31 11:32:26.360959,0.082275,-0.067383,1.004028,-1.770020,1.647949,-10.131836
2024-12-31 11:32:26.368959,0.052734,-0.114136,1.045410,-2.380371,2.563477,-8.972168
2024-12-31 11:32:26.377959,0.060547,0.020752,1.020020,-2.380371,0.061035,-12.145996
2024-12-31 11:32:26.385959,0.067871,0.036621,1.046265,-1.831055,0.549316,-12.817383
2024-12-31 11:32:26.394959,0.007935,0.021973,1.008545,-2.746582,1.220703,-13.610840
2024-12-31 11:32:26.402959,0.090942,-0.049683,1.057251,-3.356934,1.586914,-14.526367
2024-12-31 11:32:26.411959,0.291870,0.067627,1.073730,-2.319336,2.380371,-13.061523
2024-12-31 11:32:26.419959,-0.072021,0.007690,0.946411,-3.967285,0.366211,-14.465332
2024-12-31 11:32:26.428959,0.249023,0.145752,1.092407,-5.676270,0.427246,-11.901855
2024-12-31 11:32:26.436959,-0.021606,0.083252,0.982422,-3.295898,2.197266,-18.249512
2024-12-31 11:32:26.445959,0.031372,0.083374,0.953735,-3.601074,0.854492,-21.057129
2024-12-31 11:32:26.453959,0.098022,0.021729,0.952637,-3.540039,1.281738,-21.972656
2024-12-31 11:32:26.461959,0.084839,-0.046997,0.998413,-2.746582,0.549316,-19.165039
2024-12-31 11:32:26.470959,0.036621,0.017944,0.995117,-1.525879,-2.197266,-18.615723
2024-12-31 11:32:26.478959,0.036743,0.100586,0.946655,1.220703,-0.488281,-24.047852
2024-12-31 11:32:26.487959,0.189575,0.081665,1.040649,-3.051758,-0.732422,-28.625488
2024-12-31 11:32:26.495959,0.073608,0.069092,0.973755,-3.845215,2.197266,-26.428223
2024-12-31 11:32:26.504959,0.126709,0.083618,0.974976,-6.042480,-0.488281,-28.564453
2024-12-31 11:32:26.512959,0.138428,0.048584,0.994385,-3.356934,-0.793457,-29.541016
2024-12-31 11:32:26.521959,0.141479,0.002075,0.987183,-1.098633,0.183105,-25.451660
2024-12-31 11:32:26.529959,0.129517,-0.035522,0.995483,-4.333496,-0.610352,-23.803711
2024-12-31 11:32:26.538959,0.073730,-0.025757,0.998047,-5.859375,1.037598,-23.620605
2024-12-31 11:32:26.546959,0.077515,-0.050415,0.996948,-0.122070,4.516602,-21.606445
2024-12-31 11:32:26.555959,0.121460,0.035767,0.990234,-2.868652,1.037598,-20.996094
2024-12-31 11:32:26.563959,0.238159,-0.053101,1.005615,1.831055,0.549316,-23.254395
2024-12-31 11:32:26.571959,0.055908,-0.031006,0.974365,-5.920410,0.549316,-25.634766
2024-12-31 11:32:26.580959,0.362183,0.005005,0.955933,-0.183105,-0.244141,-26.245117
2024-12-31 11:32:26.588959,0.120483,-0.004395,0.987061,-4.272461,1.159668,-20.996094
2024-12-31 11:32:26.597959,0.096680,-0.170288,0.960449,-4.516602,0.854492,-16.113281
2024-12-31 11:32:26.605959,0.017212,-0.117920,1.024902,-3.845215,-0.366211,-15.686035
2024-12-31 11:32:26.614959,0.144775,-0.105713,1.042847,-4.211426,0.366211,-11.779785
2024-12-31 11:32:26.622959,-0.038330,-0.116577,1.040283,-7.385254,0.854492,-9.582520
2024-12-31 11:32:26.631959,-0.151978,-0.223877,1.090942,-2.807617,2.075195,-5.493164
2024-12-31 11:32:26.639959,-0.038452,-0.083374,1.075439,-1.892090,3.173828,-2.624512
2024-12-31 11:32:26.648959,-0.009521,-0.051270,1.071411,-0.610352,0.366211,-4.150391
2024-12-31 11:32:26.656959,0.029175,-0.145752,1.025146,-6.530762,1.464844,-6.713867
2024-12-31 11:32:26.665959,0.106934,-0.041382,0.960938,-1.586914,0.244141,-4.150391
2024-12-31 11:32:26.673959,0.169067,-0.006836,0.974854,-2.136230,3.417969,-1.525879
2024-12-31 11:32:26.682959,0.137207,-0.100586,0.977417,-3.417969,0.427246,1.403809
2024-12-31 11:32:26.690959,0.108887,-0.010010,0.978882,-5.737305,0.488281,2.868652
2024-12-31 11:32:26.698959,0.079834,-0.112549,1.039917,1.098633,2.563477,2.441406
2024-12-31 11:32:26.707959,0.059204,-0.009888,1.029175,-3.784180,-0.061035,4.516602
2024-12-31 11:32:26.715959,-0.218750,-0.122437,1.053589,-1.770020,2.258301,3.051758
2024-12-31 11:32:26.724959,0.033936,-0.183838,1.005005,-5.187988,-0.122070,2.990723
2024-12-31 11:32:26.732959,0.072754,-0.097412,0.994995,-1.525879,0.915527,4.699707
2024-12-31 11:32:26.741959,0.181396,0.019165,0.948730,-4.028320,1.281738,8.789062
2024-12-31 11:32:26.749959,-0.141968,-0.026367,0.999390,-4.943848,4.455566,9.094238
2024-12-31 11:32:26.758959,-0.167969,-0.185181,1.065796,-1.464844,1.281738,8.666992
2024-12-31 11:32:26.766959,-0.103394,-0.030151,1.051270,-3.479004,1.953125,9.399414
2024-12-31 11:32:26.775959,-0.020020,-0.021362,1.039673,-0.305176,3.295898,10.253906
2024-12-31 11:32:26.783959,-0.165527,-0.080200,1.019287,-4.577637,2.136230,6.469727
2024-12-31 11:32:26.792959,-0.017700,-0.098999,1.072754,-1.647949,1.464844,7.812500
2024-12-31 11:32:26.800959,-0.034180,-0.125366,1.047852,-2.624512,2.258301,10.375977
2024-12-31 11:32:26.808959,-0.177734,-0.047485,1.077271,-2.075195,0.549316,11.535645
2024-12-31 11:32:26.817959,-0.240723,-0.114380,1.088745,-4.211426,2.258301,13.061523
2024-12-31 11:32:26.825959,0.112427,-0.023438,0.925537,-1.770020,1.403809,16.052246
2024-12-31 11:32:26.834959,-0.131836,-0.031738,1.021851,-3.112793,-0.366211,15.563965
2024-12-31 11:32:26.842959,-0.133057,-0.091919,1.057129,-4.821777,-0.061035,18.310547
2024-12-31 11:32:26.851959,-0.108521,-0.126709,0.999146,-2.868652,3.295898,15.075684
2024-12-31 11:32:26.859959,-0.306885,-0.014526,1.126709,-9.155273,1.220703,14.160156
2024-12-31 11:32:26.868959,-0.089233,-0.046997,0.998291,0.793457,-0.305176,13.183594
2024-12-31 11:32:26.876959,-0.242554,-0.055054,1.066895,-5.737305,-0.976562,16.662598
2024-12-31 11:32:26.885959,-0.083862,-0.050537,1.030396,-0.122070,1.647949,16.540527
2024-12-31 11:32:26.893959,-0.156128,-0.112183,1.031372,-4.516602,-0.671387,15.869141
2024-12-31 11:32:26.902959,0.107422,-0.032104,0.955688,-1.403809,1.281738,15.869141
2024-12-31 11:32:26.910959,-0.146973,-0.036987,1.057861,-5.004883,0.061035,15.136719
2024-12-31 11:32:26.919959,-0.117798,0.014404,1.069824,-0.671387,-1.037598,13.854980
2024-12-31 11:32:26.927959,-0.306885,0.004517,1.131226,-1.892090,2.380371,13.977051
2024-12-31 11:32:26.935959,0.024902,0.040161,1.024048,-2.197266,2.136230,17.089844
2024-12-31 11:32:26.944959,-0.171875,-0.025757,1.041382,-5.065918,-1.831055,14.160156
2024-12-31 11:32:26.952959,-0.163208,0.038330,1.044800,-6.652832,2.929688,11.840820
2024-12-31 11:32:26.961959,-0.085449,0.142700,1.017578,-5.249023,1.464844,11.657715
2024-12-31 11:32:26.969959,-0.136841,0.107666,1.005737,0.183105,0.549316,13.122559
2024-12-31 11:32:26.978959,-0.152588,-0.021729,1.024902,0.305176,3.723145,12.939453
2024-12-31 11:32:26.986959,-0.118164,0.005859,0.988647,-1.586914,2.624512,10.925293
2024-12-31 11:32:26.995959,-0.123535,0.087280,1.032349,-2.868652,1.647949,7.568359
2024-12-31 11:32:27.003959,-0.079468,0.071533,1.010498,-4.577637,1.037598,6.408691
2024-12-31 11:32:27.012959,-0.094116,-0.054565,0.996338,-1.037598,1.281738,4.821777
2024-12-31 11:32:27.020959,-0.154785,-0.031006,1.013062,-6.286621,-1.464844,8.117676
2024-12-31 11:32:27.029959,-0.073486,0.085083,1.030029,-2.685547,-0.122070,6.408691
2024-12-31 11:32:27.037959,-0.151489,-0.038330,0.985229,-1.281738,1.464844,0.305176
2024-12-31 11:32:27.046959,-0.017822,0.053467,1.002930,-1.037598,1.525879,-1.647949
