millis,ax,ay,az,gx,gy,gz
2024-12-31 11:30:04.119520,0.106079,0.024048,1.071167,-5.859375,-15.747070,11.047363
2024-12-31 11:30:04.127520,0.311890,0.250000,1.194336,-10.070801,-20.690918,11.779785
2024-12-31 11:30:04.136520,-0.237549,-0.278442,0.843018,0.549316,-10.253906,0.122070
2024-12-31 11:30:04.144520,0.019043,-0.208618,0.948486,-3.723145,-6.103516,11.352539
2024-12-31 11:30:04.153520,0.019043,-0.115356,0.981323,-10.620117,-6.469727,22.521973
2024-12-31 11:30:04.161520,0.036377,-0.100708,1.034546,-16.967773,-11.840820,28.198242
2024-12-31 11:30:04.169520,0.259521,0.168701,1.291138,-31.433105,-16.723633,33.935547
2024-12-31 11:30:04.178520,-0.222900,-0.226807,0.824951,-32.531738,-16.723633,28.564453
2024-12-31 11:30:04.186520,-0.170776,-0.162964,0.828369,-26.672363,-13.244629,21.240234
2024-12-31 11:30:04.195520,0.076172,0.022095,0.916626,-10.253906,-9.277344,15.563965
2024-12-31 11:30:04.203520,0.072876,0.039429,1.040161,0.122070,-7.751465,14.160156
2024-12-31 11:30:04.212520,-0.189209,-0.127319,0.834106,7.812500,-10.009766,14.709473
2024-12-31 11:30:04.220520,0.008423,-0.083374,0.890015,7.141113,-12.145996,11.596680
2024-12-31 11:30:04.229520,0.042114,-0.042114,0.980103,8.911133,-13.610840,9.460449
2024-12-31 11:30:04.237520,0.320435,0.207764,1.328369,-2.685547,-14.526367,17.639160
2024-12-31 11:30:04.246520,-0.036987,0.082153,1.150635,5.126953,-11.047363,8.911133
2024-12-31 11:30:04.254520,0.060913,-0.022827,1.029175,20.812988,-15.625000,5.676270
2024-12-31 11:30:04.263520,0.065430,-0.073608,1.097900,35.278320,-17.028809,2.380371
2024-12-31 11:30:04.271520,0.120117,-0.164429,1.011841,35.034180,-15.625000,2.685547
2024-12-31 11:30:04.280520,0.162231,0.000122,0.473389,16.662598,-22.338867,3.295898
2024-12-31 11:30:04.288520,0.292603,0.206909,1.020996,2.502441,-95.947266,-0.305176
2024-12-31 11:30:04.296520,0.220215,0.059814,1.654663,-6.896973,-130.004883,-3.662109
2024-12-31 11:30:04.305520,0.127319,0.126587,1.120483,-8.605957,-56.213379,-15.686035
2024-12-31 11:30:04.313520,0.080444,0.083130,0.989258,-0.427246,-3.234863,-24.719238
2024-12-31 11:30:04.322520,0.005371,-0.107300,0.989014,-5.859375,-6.958008,-44.494629
2024-12-31 11:30:04.330520,0.093994,0.230713,1.049316,-16.662598,-6.103516,-51.879883
2024-12-31 11:30:04.339520,0.106934,-0.020630,1.033447,-14.587402,-1.525879,-52.124023
2024-12-31 11:30:04.347520,0.193481,0.250977,1.065918,-52.612305,1.525879,-43.701172
2024-12-31 11:30:04.356520,0.082397,0.117065,1.027344,-109.130859,3.295898,-39.550781
2024-12-31 11:30:04.364520,0.042114,0.213013,0.955200,-122.619629,0.366211,-23.559570
2024-12-31 11:30:04.373520,-0.003174,0.194580,0.948975,-104.553223,0.183105,-2.075195
2024-12-31 11:30:04.381520,-0.007935,0.201172,0.948975,-60.913086,1.037598,6.896973
2024-12-31 11:30:04.390520,-0.030273,0.203735,0.935669,-18.005371,0.488281,9.887695
2024-12-31 11:30:04.398520,-0.010742,0.190674,0.942017,32.897949,-0.061035,2.502441
2024-12-31 11:30:04.406520,-0.016724,0.056396,0.999023,91.796875,0.427246,-1.770020
2024-12-31 11:30:04.415520,-0.028198,-0.017578,1.042725,99.670410,0.793457,-4.943848
2024-12-31 11:30:04.423520,-0.006226,0.042725,1.010132,72.692871,0.427246,-13.488770
2024-12-31 11:30:04.432520,-0.003418,0.117432,1.023560,63.110352,-0.244141,-18.615723
2024-12-31 11:30:04.440520,0.032349,-0.333496,1.068481,50.170898,-0.244141,-20.446777
2024-12-31 11:30:04.449520,0.021362,0.122559,1.007446,13.061523,-0.610352,-11.718750
2024-12-31 11:30:04.457520,-0.035278,0.010498,1.024536,2.685547,-2.075195,-14.404297
