millis,mx,my,mz
2025-04-14 12:51:00.178908,37.377930,-7.824707,269.702148
2025-04-14 12:51:00.191908,11.877441,-39.929199,256.372070
2025-04-14 12:51:00.204908,-19.689941,-63.281250,242.236328
2025-04-14 12:51:00.217908,-57.824707,-84.423828,232.690430
2025-04-14 12:51:00.230908,-108.972168,-98.510742,219.763184
2025-04-14 12:51:00.242908,-176.293945,-102.368164,186.328125
2025-04-14 12:51:00.255908,-259.899902,-85.449219,117.919922
2025-04-14 12:51:00.268908,-334.484863,-44.641113,9.948730
2025-04-14 12:51:00.281908,-368.774414,9.887695,-107.116699
2025-04-14 12:51:00.294908,-362.634277,61.035156,-204.980469
2025-04-14 12:51:00.307908,-335.888672,97.961426,-272.656250
2025-04-14 12:51:00.320908,-300.061035,125.463867,-327.502441
2025-04-14 12:51:00.333908,-256.164551,142.358398,-370.642090
2025-04-14 12:51:00.346908,-207.873535,146.582031,-400.000000
2025-04-14 12:51:00.359908,-162.243652,132.604980,-400.000000
2025-04-14 12:51:00.371908,-123.803711,102.722168,-400.000000
2025-04-14 12:51:00.384908,-102.355957,67.260742,-400.000000
2025-04-14 12:51:00.397908,-92.810059,28.479004,-400.000000
2025-04-14 12:51:00.410908,-95.959473,-12.927246,-400.000000
2025-04-14 12:51:00.423908,-115.344238,-57.617188,-400.000000
2025-04-14 12:51:00.436908,-159.899902,-107.055664,-400.000000
2025-04-14 12:51:00.449908,-234.753418,-158.862305,-400.000000
2025-04-14 12:51:00.462908,-323.254395,-194.213867,-355.371094
2025-04-14 12:51:00.475908,-391.149902,-191.918945,-239.855957
2025-04-14 12:51:00.488908,-400.000000,-155.371094,-123.242188
2025-04-14 12:51:00.501908,-395.520020,-101.879883,-30.004883
2025-04-14 12:51:00.513908,-360.839844,-40.136719,53.784180
2025-04-14 12:51:00.526908,-315.478516,16.491699,118.176270
2025-04-14 12:51:00.539908,-276.000977,59.570312,178.161621
2025-04-14 12:51:00.552908,-222.448730,101.794434,258.288574
2025-04-14 12:51:00.565908,-123.791504,122.155762,339.636230
2025-04-14 12:51:00.578908,-20.520020,86.608887,392.102051
2025-04-14 12:51:00.591908,25.769043,12.060547,386.376953
2025-04-14 12:51:00.604908,18.701172,-50.073242,348.095703
2025-04-14 12:51:00.617908,-3.894043,-86.755371,310.046387
2025-04-14 12:51:00.630908,-42.224121,-111.242676,286.083984
2025-04-14 12:51:00.643908,-112.023926,-122.570801,256.152344
2025-04-14 12:51:00.655908,-220.288086,-107.958984,193.029785
2025-04-14 12:51:00.668908,-342.883301,-51.525879,64.160156
2025-04-14 12:51:00.681908,-400.000000,37.890625,-110.192871
2025-04-14 12:51:00.694908,-366.906738,107.092285,-236.218262
2025-04-14 12:51:00.707908,-311.315918,140.527344,-297.863770
2025-04-14 12:51:00.720908,-257.006836,152.783203,-326.159668
2025-04-14 12:51:00.733908,-195.739746,150.122070,-331.127930
2025-04-14 12:51:00.746908,-138.928223,134.533691,-316.027832
2025-04-14 12:51:00.759908,-98.889160,113.244629,-293.310547
2025-04-14 12:51:00.772908,-70.983887,90.747070,-265.673828
2025-04-14 12:51:00.785908,-51.281738,71.398926,-238.195801
2025-04-14 12:51:00.797908,-39.733887,57.824707,-214.843750
2025-04-14 12:51:00.810908,-32.495117,48.596191,-197.778320
2025-04-14 12:51:00.823908,-28.112793,42.797852,-185.791016
2025-04-14 12:51:00.836908,-27.233887,40.270996,-178.747559
2025-04-14 12:51:00.849908,-27.697754,38.513184,-176.147461
2025-04-14 12:51:00.862908,-27.929688,36.718750,-172.985840
2025-04-14 12:51:00.875908,-27.929688,35.473633,-171.057129
2025-04-14 12:51:00.888908,-29.223633,35.632324,-170.776367
2025-04-14 12:51:00.901908,-29.785156,34.338379,-172.338867
2025-04-14 12:51:00.914908,-30.676270,34.020996,-170.812988
2025-04-14 12:51:00.927908,-31.335449,33.642578,-171.276855
2025-04-14 12:51:00.939908,-32.373047,31.982422,-173.315430
2025-04-14 12:51:00.952908,-34.411621,31.665039,-175.268555
2025-04-14 12:51:00.965908,-36.669922,31.091309,-178.784180
2025-04-14 12:51:00.978908,-39.453125,30.212402,-181.579590
2025-04-14 12:51:00.991908,-40.588379,29.248047,-182.287598
2025-04-14 12:51:01.004908,-42.529297,28.002930,-185.058594
2025-04-14 12:51:01.017908,-43.188477,27.294922,-185.144043
2025-04-14 12:51:01.030908,-43.762207,27.038574,-186.535645
2025-04-14 12:51:01.043908,-44.555664,25.451660,-187.597656
2025-04-14 12:51:01.056908,-45.288086,24.621582,-188.000488
2025-04-14 12:51:01.069908,-46.801758,24.182129,-187.756348
2025-04-14 12:51:01.081908,-47.912598,23.254395,-187.585449
2025-04-14 12:51:01.094908,-49.291992,22.766113,-189.709473
2025-04-14 12:51:01.107908,-50.598145,22.863770,-190.563965
2025-04-14 12:51:01.120908,-50.744629,22.399902,-188.720703
2025-04-14 12:51:01.133908,-50.939941,22.863770,-188.842773
2025-04-14 12:51:01.146908,-50.659180,22.277832,-188.488770
2025-04-14 12:51:01.159908,-51.599121,20.776367,-187.744141
2025-04-14 12:51:01.172908,-52.062988,21.032715,-187.902832
2025-04-14 12:51:01.185908,-53.308105,20.214844,-188.916016
2025-04-14 12:51:01.198908,-54.858398,20.019531,-189.624023
2025-04-14 12:51:01.210908,-54.614258,19.006348,-188.623047
2025-04-14 12:51:01.223908,-54.907227,18.774414,-188.659668
2025-04-14 12:51:01.236908,-54.882812,19.299316,-188.391113
2025-04-14 12:51:01.249908,-54.968262,19.567871,-189.196777
2025-04-14 12:51:01.262908,-54.260254,19.873047,-188.732910
2025-04-14 12:51:01.275908,-54.052734,19.775391,-188.146973
2025-04-14 12:51:01.288908,-54.772949,19.580078,-188.513184
2025-04-14 12:51:01.301908,-56.176758,19.592285,-190.393066
2025-04-14 12:51:01.314908,-57.214355,18.688965,-191.430664
2025-04-14 12:51:01.327908,-59.020996,18.225098,-193.017578
2025-04-14 12:51:01.340908,-61.364746,17.138672,-195.593262
2025-04-14 12:51:01.352908,-62.670898,16.918945,-197.937012
2025-04-14 12:51:01.365908,-65.588379,16.186523,-198.986816
2025-04-14 12:51:01.378908,-68.310547,14.855957,-201.928711
2025-04-14 12:51:01.391908,-71.887207,14.233398,-205.139160
2025-04-14 12:51:01.404908,-74.731445,12.927246,-206.896973
2025-04-14 12:51:01.417908,-77.807617,12.194824,-207.897949
2025-04-14 12:51:01.430908,-80.700684,10.400391,-209.973145
2025-04-14 12:51:01.443908,-84.411621,8.947754,-212.353516
2025-04-14 12:51:01.456908,-87.768555,8.251953,-213.305664
2025-04-14 12:51:01.469908,-90.649414,7.116699,-215.112305
2025-04-14 12:51:01.482908,-92.907715,6.628418,-216.296387
2025-04-14 12:51:01.494908,-95.178223,5.493164,-216.284180
2025-04-14 12:51:01.507908,-98.388672,5.261230,-219.140625
2025-04-14 12:51:01.520908,-101.977539,4.382324,-219.677734
2025-04-14 12:51:01.533908,-105.664062,3.283691,-220.227051
2025-04-14 12:51:01.546908,-108.935547,2.050781,-222.473145
2025-04-14 12:51:01.559908,-113.500977,0.280762,-225.476074
2025-04-14 12:51:01.572908,-117.041016,-0.500488,-225.732422
2025-04-14 12:51:01.585908,-117.517090,-0.024414,-226.379395
2025-04-14 12:51:01.598908,-116.186523,0.463867,-225.207520
2025-04-14 12:51:01.611908,-115.588379,0.427246,-225.292969
2025-04-14 12:51:01.623908,-116.015625,0.891113,-226.086426
2025-04-14 12:51:01.636908,-115.673828,0.891113,-225.854492
2025-04-14 12:51:01.649908,-112.451172,2.148438,-224.719238
2025-04-14 12:51:01.662908,-110.998535,3.613281,-223.852539
2025-04-14 12:51:01.675908,-110.058594,4.345703,-223.742676
2025-04-14 12:51:01.688908,-110.839844,4.577637,-223.205566
2025-04-14 12:51:01.701908,-111.926270,4.724121,-223.425293
2025-04-14 12:51:01.714908,-113.427734,4.272461,-225.170898
2025-04-14 12:51:01.727908,-115.417480,3.955078,-226.086426
2025-04-14 12:51:01.740908,-117.175293,3.918457,-227.856445
2025-04-14 12:51:01.753908,-118.603516,2.978516,-229.150391
2025-04-14 12:51:01.765908,-118.054199,3.356934,-230.895996
2025-04-14 12:51:01.778908,-118.688965,2.819824,-231.335449
